type,landuse,floors,area,year,pop2011,pop2022,ID,weight,weight_share,p11_alloc,p22_alloc
Residential building,Urban,1,107.859,2011,594,507,1,107.859,0.005523980756948,3.281244569627112,2.800658243772636
Residential building,Urban,1,120.671,2011,594,507,2,120.671,0.0061801452073696,3.6710062531775427,3.1333336201363875
Residential building,Urban,2,95.438,2011,594,507,3,190.876,0.0097756826130709,5.806755472164115,4.9562710848269464
Residential building,Urban,1,69.089,2011,594,507,4,69.089,0.0035383816512,2.1017987008128,1.7939594971583999
Residential building,Urban,1,62.84,2011,594,507,5,62.84,0.0032183401548931,1.9116940520065016,1.6316984585308019
Residential building,Urban,1,61.582,2011,594,507,6,61.582,0.0031539118939947,1.8734236650328517,1.5990333302553128
Residential building,Urban,1,85.596,2011,594,507,7,85.596,0.0043837849124479,2.6039682379940525,2.2225789506110853
Residential building,Urban,1,82.328,2011,594,507,8,82.328,0.0042164148356467,2.50455041237414,2.137722321672877
Residential building,Urban,1,154.282,2011,594,507,9,154.282,0.0079015269856336,4.693507029466359,4.006074181716235
Residential building,Urban,1,86.635,2011,594,507,10,86.635,0.004436997124748,2.635576292100312,2.249557542247236
Residential building,Urban,1,138.7,2011,594,507,11,138.7,0.0071034974456345,4.219477482706893,3.6014732049366915
Residential building,Urban,1,91.46,2011,594,507,12,91.46,0.0046841086977486,2.7823605664626685,2.3748431097585403
Residential building,Urban,1,81.65699999999998,2011,594,507,13,81.65699999999998,0.0041820496821786,2.4841375112140884,2.1202991888645504
Residential building,Urban,1,123.18,2011,594,507,14,123.18,0.0063086432253299,3.7473340758459606,3.198482115242259
Residential building,Urban,1,126.594,2011,594,507,15,126.594,0.0064834906678634,3.8511934567108597,3.2871297686067438
Residential building,Urban,1,89.441,2011,594,507,16,89.441,0.0045807059483417,2.72093933331497,2.322417915809242
Residential building,Urban,1,108.567,2011,594,507,17,108.567,0.005560240859266,3.3027830704040038,2.819042115647862
Residential building,Urban,2,133.012,2011,594,507,18,266.024,0.0136243749421592,8.092878715642565,6.907558095674714
Residential building,Urban,1,104.835,2011,594,507,19,104.835,0.0053691070995897,3.189249617156282,2.722137299491978
Residential building,Urban,1,108.723,2011,594,507,20,108.723,0.0055682303733361,3.3075288417616435,2.8230927992814028
Residential building,Urban,1,103.682,2011,594,507,21,103.682,0.0053100563962385,3.154173499365669,2.6921985928929195
Residential building,Urban,1,116.491,2011,594,507,22,116.491,0.0059660672021587,3.543843918082268,3.024796071494461
Residential building,Urban,1,91.891,2011,594,507,23,91.891,0.0047061822911089,2.7954722809186863,2.3860344215922122
Residential building,Urban,2,107.127,2011,594,507,24,214.254,0.0109729829972385,6.517951900359669,5.563302379599919
Residential building,Urban,1,97.449,2011,594,507,25,97.449,0.0049908343372721,2.9645555963396277,2.530353008996955
Residential building,Urban,2,93.188,2011,594,507,26,186.376,0.0095452158610496,5.669858221463463,4.839424441552148
Residential building,Urban,2,91.643,2011,594,507,27,183.286,0.0093869620246616,5.57585544264899,4.759189746503431
Residential building,Urban,1,110.68,2011,594,507,28,110.68,0.0056684578030485,3.367063935010809,2.8739081061455893
Residential building,Urban,1,107.586,2011,594,507,29,107.586,0.0055099991073254,3.2729394697512877,2.793569547413978
Residential building,Urban,1,91.476,2011,594,507,30,91.476,0.0046849281350891,2.7828473122429256,2.375258564490174
Residential building,Urban,1,76.72199999999998,2011,594,507,31,76.72199999999998,0.0039293044774619,2.3340068596123684,1.9921573700731832
Residential building,Urban,1,84.366,2011,594,507,32,84.366,0.0043207906668954,2.5665496561358676,2.1906408681159677
Residential building,Urban,1,103.587,2011,594,507,33,103.587,0.0053051909870291,3.1512834462952855,2.689731830423754
Residential building,Urban,1,79.36,2011,594,507,34,79.36,0.0040644092089802,2.414259070134239,2.0606554689529615
Residential building,Urban,2,99.731,2011,594,507,35,199.462,0.0102154131759276,6.067955426500995,5.179214480195293
Residential building,Urban,1,59.459,2011,594,507,36,59.459,0.0030451828018744,1.8088385843133934,1.5439076805503207
Residential building,Urban,1,74.887,2011,594,507,37,74.887,0.003835325257471,2.278183202937774,1.944509905537797
Residential building,Urban,1,73.437,2011,594,507,38,73.437,0.0037610637484864,2.2340718666009214,1.9068593204826048
Residential building,Urban,1,85.173,2011,594,507,39,85.173,0.0043621210377579,2.591099896428193,2.2115953661432552
Residential building,Urban,1,99.477,2011,594,507,40,99.477,0.005094698020183,3.026250623988702,2.5830118962327813
Residential building,Urban,2,114.183,2011,594,507,41,228.366,0.0116957267315773,6.947261678556917,5.929733452909692
Residential building,Urban,1,142.278,2011,594,507,42,142.278,0.0072867441209083,4.3283260078195305,3.694379269300508
Residential building,Urban,1,115.657,2011,594,507,43,115.657,0.0059233540307841,3.5184722942857554,3.0031404936075385
Residential building,Urban,1,116.418,2011,594,507,44,116.418,0.0059623285192926,3.541623140459804,3.022900559281348
Residential building,Urban,1,93.67,2011,594,507,45,93.67,0.0047972934804079,2.8495923273622927,2.4322277945668054
Residential building,Urban,1,82.658,2011,594,507,46,82.658,0.0042333157307949,2.5145895440921704,2.1462910755130142
Residential building,Urban,1,94.33,2011,594,507,47,94.33,0.0048310952707044,2.869670590798414,2.449365302247131
Residential building,Urban,1,113.737,2011,594,507,48,113.737,0.0058250215499216,3.4600628006534304,2.9532859258102513
Residential building,Urban,1,100.442,2011,594,507,49,100.442,0.0051441203347831,3.0556074788611616,2.608069009735032
Residential building,Urban,1,109.307,2011,594,507,50,109.307,0.0055981398362651,3.3252950627414695,2.8382568969864055
Residential building,Urban,1,104.797,2011,594,507,51,104.797,0.005367160935906,3.1880935959281644,2.7211505945043424
Residential building,Urban,1,116.881,2011,594,507,52,116.881,0.0059860409873339,3.5557083464763366,3.0349227805782872
Residential building,Urban,1,91.266,2011,594,507,53,91.266,0.0046741730199948,2.7764587738769113,2.3698057211373635
Residential building,Urban,1,109.459,2011,594,507,54,109.459,0.005605924491,3.329919147654,2.842203716937
Residential building,Urban,2,107.102,2011,594,507,55,214.204,0.0109704222555494,6.516430819796343,5.562004083563545
Residential building,Urban,1,111.134,2011,594,507,56,111.134,0.0056917093375858,3.3808753465259653,2.885696634156001
Residential building,Urban,2,96.86,2011,594,507,57,193.72000000000003,0.0099213376003484,5.89327453460695,5.030118163376639
Residential building,Urban,1,117.115,2011,594,507,58,117.115,0.005998025258439,3.562827003512766,3.040998806028573
Residential building,Urban,1,124.14,2011,594,507,59,124.14,0.0063578094657611,3.776538822662093,3.2234093991408774
Residential building,Urban,2,118.057,2011,594,507,60,236.114,0.0120925392637242,7.182968322652175,6.1309174067081695
Residential building,Urban,1,104.963,2011,594,507,61,104.963,0.0053756625983139,3.1931435833984567,2.7254609373451473
Residential building,Urban,1,96.725,2011,594,507,62,96.725,0.0049537547976135,2.942530349782419,2.5115536823900446
Residential building,Urban,1,68.062,2011,594,507,63,68.062,0.0034857840169054,2.0705557060418074,1.7672924965710377
Residential building,Urban,1,84.539,2011,594,507,64,84.539,0.0043296508331398,2.571812594885041,2.1951329724018787
Residential building,Urban,1,80.334,2011,594,507,65,80.334,0.0041142924570844,2.4438897195081335,2.085946275741791
Residential building,Urban,2,102.759,2011,594,507,66,205.518,0.0105255702093145,6.252188704332813,5.336464096122452
Residential building,Urban,1,73.61799999999998,2011,594,507,67,73.61799999999998,0.003770333633401,2.239578178240194,1.911559152134307
Residential building,Urban,1,124.91,2011,594,507,68,124.91,0.0063972448877737,3.7999634633375776,3.2434031581012657
Residential building,Urban,1,98.072,2011,594,507,69,98.072,0.0050227411787186,2.9835082601588483,2.54652977761033
Residential building,Urban,1,85.88899999999998,2011,594,507,70,85.88899999999998,0.0043987908587462,2.6128817700952425,2.2301869653843234
Residential building,Urban,1,63.886,2011,594,507,71,63.886,0.0032719108710296,1.9435150573915823,1.658858811612007
Residential building,Urban,1,66.838,2011,594,507,72,66.838,0.0034230970603556,2.033319653851226,1.735510209600289
Residential building,Urban,1,105.828,2011,594,507,73,105.828,0.0054199634295357,3.219458277144206,2.7479214587746
Residential building,Urban,1,67.78,2011,594,507,74,67.78,0.0034713414337787,2.061976811664548,1.759970106925801
Residential building,Urban,1,68.239,2011,594,507,75,68.239,0.0034948490424849,2.0759403312360307,1.7718884645398443
Residential building,Urban,1,64.134,2011,594,507,76,64.134,0.0032846121498076,1.9510596169857144,1.6652983599524531
Residential building,Urban,1,65.493,2011,594,507,77,65.493,0.0033542131089181,1.9924025866973514,1.7005860462214766
Residential building,Urban,1,80.741,2011,594,507,78,80.741,0.0041351368944338,2.456271315293677,2.0965144054779365
Residential building,Urban,1,61.697,2011,594,507,79,61.697,0.0031598015998797,1.8769221503285418,1.6020194111390078
Residential building,Urban,1,69.183,2011,594,507,80,69.183,0.0035431958455755,2.104658332271847,1.7964002937067785
Residential building,Urban,1,67.806,2011,594,507,81,67.806,0.003472673019457,2.062767773557458,1.760645220864699
Residential building,Urban,1,32.254,2011,594,507,82,32.254,0.0016518832488211,0.9812186497997334,0.8375048071522977
Residential building,Urban,1,87.092,2011,594,507,83,87.092,0.0044604023037866,2.64947896844924,2.261423968019806
Residential building,Urban,1,69.382,2011,594,507,84,69.382,0.0035533875974983,2.1107122329139902,1.801567511931638
Residential building,Urban,2,90.515,2011,594,507,85,181.03,0.0092714213596483,5.5072242876310895,4.700610629341687
Residential building,Urban,1,62.151,2011,594,507,86,62.151,0.0031830531344169,1.8907335618436385,1.6138079391493683
Residential building,Urban,1,41.858,2011,594,507,87,41.858,0.0021437505124684,1.2733878044062297,1.0868815098214788
Residential building,Urban,1,81.661,2011,594,507,88,81.661,0.0041822545415137,2.4842591976591377,2.120403052547446
Residential building,Urban,1,108.862,2011,594,507,89,108.862,0.0055753492352319,3.3117574457277486,2.8267020622625734
Residential building,Urban,1,84.101,2011,594,507,90,84.101,0.0043072187359431,2.558487929150201,2.1837598991231517
Residential building,Urban,1,70.92,2011,594,507,91,70.92,0.0036321560118558,2.157500671042345,1.8415030980108906
Residential building,Urban,1,93.226,2011,594,507,92,93.226,0.0047745540942085,2.836085131959849,2.4206989257637095
Residential building,Urban,1,84.605,2011,594,507,93,84.605,0.0043330310121695,2.573820421228683,2.1968467231699367
Residential building,Urban,1,63.114,2011,594,507,94,63.114,0.0032323730193495,1.920029573493603,1.6388131208101966
Residential building,Urban,1,73.571,2011,594,507,95,73.571,0.0037679265362132,2.238148362510641,1.9103387538600924
Residential building,Urban,1,75.19199999999998,2011,594,507,96,75.19199999999998,0.0038509457817747,2.2874617943741717,1.9524295113597727
Residential building,Urban,1,70.038,2011,594,507,97,70.038,0.0035869845284596,2.130668809905002,1.8186011559290172
Residential building,Urban,1,57.119,2011,594,507,98,57.119,0.0029253400908233,1.7376520139490403,1.4831474260474131
Residential building,Urban,1,64.829,2011,594,507,99,64.829,0.0033202064592865,1.972202636816181,1.6833446748582555
Residential building,Urban,1,35.691,2011,594,507,100,35.691,0.0018279086325316,1.0857777277237703,0.9267496766935213
Residential building,Urban,1,136.297,2011,594,507,101,136.297,0.0069804282000551,4.14637435083273,3.5390770974279357
Residential building,Urban,1,63.334,2011,594,507,102,63.334,0.0032436402827816,1.9267223279722705,1.6445256233702712
Residential building,Urban,1,48.342,2011,594,507,103,48.342,0.0024758274947142,1.4706415318602348,1.2552445398200995
Residential building,Urban,1,76.887,2011,594,507,104,76.887,0.003937754925036,2.339026425471384,1.996441746993252
Residential building,Urban,1,71.348,2011,594,507,105,71.348,0.0036540759607147,2.170521120664532,1.852616512082353
Residential building,Urban,1,113.876,2011,594,507,106,113.876,0.0058321404118174,3.4642914046195354,2.956895188791422
Residential building,Urban,1,69.425,2011,594,507,107,69.425,0.0035555898353509,2.1120203621984346,1.8026840465229064
Residential building,Urban,1,94.092,2011,594,507,108,94.092,0.0048189061402642,2.8624302473169347,2.4431854131139494
Residential building,Urban,1,79.113,2011,594,507,109,79.113,0.0040517591450359,2.406744932151325,2.0542418865332013
Residential building,Urban,1,74.149,2011,594,507,110,74.149,0.0037975287101395,2.2557320538228627,1.9253470560407264
Residential building,Urban,1,57.003,2011,594,507,111,57.003,0.0029193991701045,1.734123107042073,1.4801353792429814
Residential building,Urban,1,53.617,2011,594,507,112,53.617,0.002745985742917,1.631115531292698,1.392214771658919
Residential building,Urban,1,70.827,2011,594,507,113,70.827,0.003627393032314,2.154671461194516,1.839088267383198
Residential building,Urban,1,70.14,2011,594,507,114,70.14,0.0035922084415054,2.1337718142542075,1.8212496798432378
Residential building,Urban,1,67.175,2011,594,507,115,67.175,0.0034403564593403,2.043571736848138,1.7442607248855322
Residential building,Urban,1,46.601,2011,594,507,116,46.601,0.0023866624690988,1.4176775066446872,1.2100378718330915
Residential building,Urban,1,83.825,2011,594,507,117,83.825,0.0042930834418191,2.5500915644405455,2.176593305002284
Residential building,Urban,1,58.551,2011,594,507,118,58.551,0.0029986797327999,1.7812157612831405,1.5203306245295494
Residential building,Urban,1,36.611,2011,594,507,119,36.611,0.0018750262796115,1.113765610089231,0.9506383237630306
Residential building,Urban,1,44.492,2011,594,507,120,44.492,0.0022786503846515,1.353518328482991,1.1552757450183104
Residential building,Urban,1,38.911,2011,594,507,121,38.911,0.0019928203973113,1.1837353160029123,1.0103599414368292
Residential building,Urban,1,110.625,2011,594,507,122,110.625,0.0056656409871905,3.365390746391157,2.8724799805055836
Residential building,Urban,1,76.373,2011,594,507,123,76.373,0.0039114305004718,2.323389717280249,1.9830952637392025
Residential building,Urban,1,60.461,2011,594,507,124,60.461,0.0030965000653245,1.839321038802753,1.5699255331195214
Residential building,Urban,2,81.536,2011,594,507,125,163.072,0.0083517053745819,4.960912992501648,4.234314624913023
Residential building,Urban,1,70.561,2011,594,507,126,70.561,0.0036137698865279,2.1465793125975727,1.8321813324696452
Residential building,Urban,1,49.163,2011,594,507,127,49.163,0.0025178748732496,1.4956176747102625,1.2765625607375473
Residential building,Urban,1,78.67499999999998,2011,594,507,128,78.67499999999998,0.0040293270478392,2.3934202664164848,2.0428688132544743
Residential building,Urban,1,166.465,2011,594,507,129,166.465,0.008525477305606,5.064133519529964,4.322416993942242
Residential building,Urban,1,79.406,2011,594,507,130,79.406,0.0040667650913342,2.4156584642525147,2.0618499013064393
Residential building,Urban,1,64.955,2011,594,507,131,64.955,0.0033266595283431,1.9760357598358016,1.686616380869952
Residential building,Urban,1,77.76,2011,594,507,132,77.76,0.0039824654749282,2.365584492107351,2.0191099957885976
Residential building,Urban,1,84.75499999999998,2011,594,507,133,84.75499999999998,0.0043407132372368,2.578383662918659,2.2007416112790574
Residential building,Urban,1,88.96299999999998,2011,594,507,134,88.96299999999998,0.0045562252577937,2.706397803129458,2.310006205701406
Residential building,Urban,1,54.988,2011,594,507,135,54.988,0.0028162012800328,1.6728235603394832,1.4278140489766296
Residential building,Urban,1,78.07599999999998,2011,594,507,136,78.07599999999998,0.0039986493624034,2.3751977212676194,2.0273152267385237
Residential building,Urban,1,49.66,2011,594,507,137,49.66,0.0025433286456395,1.5107372155098628,1.2894676233392264
Residential building,Urban,1,47.792,2011,594,507,138,47.792,0.0024476593361338,1.4539096456634772,1.2409632834198367
Residential building,Urban,1,66.065,2011,594,507,139,66.065,0.0033835079938417,2.00980374834197,1.7154385528777418
Residential building,Urban,1,67.918,2011,594,507,140,67.918,0.0034784090808407,2.066174994019376,1.7635534039862348
Residential building,Urban,1,79.92499999999998,2011,594,507,141,79.92499999999998,0.0040933455900673,2.431447280499976,2.075326214164121
Residential building,Urban,1,108.448,2011,594,507,142,108.448,0.0055541462940459,3.2991628986632646,2.815952171081271
Residential building,Urban,1,59.231,2011,594,507,143,59.231,0.003033505819772,1.801902456944568,1.537987450624404
Residential building,Urban,1,42.459,2011,594,507,144,42.459,0.0021745306275717,1.2916711927775897,1.102487028178852
Residential building,Urban,1,95.596,2011,594,507,145,95.596,0.0048959332502731,2.9081843506622214,2.4822381578884616
Residential building,Urban,1,96.133,2011,594,507,146,96.133,0.0049234356160143,2.924520755912494,2.49618185731925
Residential building,Urban,1,64.298,2011,594,507,147,64.298,0.003293011382548,1.956048761233512,1.669556770951836
Residential building,Urban,1,52.886,2011,594,507,148,52.886,0.0027085476994219,1.6088773334566087,1.3732336836069035
Residential building,Urban,1,83.41899999999998,2011,594,507,149,83.41899999999998,0.0042722902193034,2.5377403902662197,2.1660511411868235
Residential building,Urban,1,73.55899999999998,2011,594,507,150,73.55899999999998,0.0037673119582078,2.2377833031754335,1.9100271628113548
Residential building,Urban,1,51.292,2011,594,507,151,51.292,0.0026269112543726,1.5603852850973243,1.331844005966908
Residential building,Urban,2,51.603,2011,594,507,152,103.206,0.005285678135358,3.139692812402652,2.679838814626506
Residential building,Urban,1,40.922,2011,594,507,153,40.922,0.0020958134280479,1.2449131762604524,1.0625774080202852
Residential building,Urban,1,66.687,2011,594,507,154,66.687,0.0034153636204544,2.0287259905499138,1.7315893555703807
Residential building,Urban,1,64.432,2011,594,507,155,64.432,0.0032998741702748,1.960125257143231,1.6730362043293234
Residential building,Urban,1,78.77599999999998,2011,594,507,156,78.77599999999998,0.0040344997460512,2.396492849154413,2.0454913712479588
Residential building,Urban,1,53.068,2011,594,507,157,53.068,0.0027178687991704,1.6144140667072175,1.3779594811793927
Residential building,Urban,1,69.131,2011,594,507,158,69.131,0.0035405326742189,2.1030764084860265,1.7950500658289823
Residential building,Urban,1,67.427,2011,594,507,159,67.427,0.0034532625974535,2.051237982887379,1.7508041369089247
Residential building,Urban,1,77.48099999999998,2011,594,507,160,77.48099999999998,0.0039681765363028,2.3570968625638633,2.0118655039055198
Residential building,Urban,1,26.105,2011,594,507,161,26.105,0.0013369632358925,0.7941561621201451,0.6778403605974975
Residential building,Urban,1,61.563,2011,594,507,162,61.563,0.0031529388121528,1.8728456544187633,1.5985399777614695
Residential building,Urban,1,79.927,2011,594,507,163,79.927,0.0040934480197349,2.4315081237225304,2.0753781460055944
Residential building,Urban,1,86.592,2011,594,507,164,86.592,0.0044347948868953,2.634268162815808,2.248441007655917
Residential building,Urban,1,72.21299999999998,2011,594,507,165,72.21299999999998,0.0036983767919366,2.19683581441034,1.875077033511856
Residential building,Urban,1,83.717,2011,594,507,166,83.717,0.0042875522397706,2.5468060304237365,2.1737889855636943
Residential building,Urban,1,60.915,2011,594,507,167,60.915,0.0031197515998617,1.8531324503178497,1.5817140611298819
Residential building,Urban,1,62.334,2011,594,507,168,62.334,0.0031924254489991,1.8963007167054655,1.6185597026425438
Residential building,Urban,1,54.715,2011,594,507,169,54.715,0.0028022196304102,1.664518460463659,1.4207253526179715
Residential building,Urban,1,66.888,2011,594,507,170,66.888,0.0034256578020447,2.034840734414552,1.736808505636663
Residential building,Urban,1,81.94199999999998,2011,594,507,171,81.94199999999998,0.0041966459098066,2.4928076704251207,2.1276994762719466
Residential building,Urban,1,83.345,2011,594,507,172,83.345,0.0042685003216035,2.535489191032479,2.1641296630529743
Residential building,Urban,1,63.354,2011,594,507,173,63.354,0.0032446645794573,1.9273307601976362,1.645044941784851
Residential building,Urban,2,64.915,2011,594,507,174,129.83,0.0066492218699836,3.9496377907702587,3.371155488081685
Residential building,Urban,1,68.367,2011,594,507,175,68.367,0.003501404541209,2.079834297478146,1.775212102392963
Residential building,Urban,1,76.882,2011,594,507,176,76.882,0.0039374988508671,2.3388743174150575,1.9963119173896198
Residential building,Urban,1,73.893,2011,594,507,177,73.893,0.0037844177126912,2.247944121338573,1.9186997803344383
Residential building,Urban,2,83.63899999999998,2011,594,507,178,167.27799999999996,0.0085671149654712,5.088866289489893,4.343527287493899
Residential building,Urban,2,74.641,2011,594,507,179,149.282,0.0076454528167211,4.541398973132334,3.8762445780775976
Residential building,Urban,2,97.012,2011,594,507,180,194.024,0.0099369069098183,5.902522704432069,5.038011803277878
Residential building,Urban,1,98.489,2011,594,507,181,98.489,0.0050440977644059,2.9961940720571043,2.557357566553791
Residential building,Urban,2,116.787,2011,594,507,182,233.574,0.0119624535859167,7.10569743003452,6.064963968059767
Residential building,Urban,1,88.58499999999998,2011,594,507,183,88.58499999999998,0.0045368660506239,2.6948984340705966,2.300191087666317
Residential building,Urban,1,88.623,2011,594,507,184,88.623,0.0045388122143076,2.6960544552987145,2.301177792653953
Residential building,Urban,1,105.384,2011,594,507,185,105.384,0.0053972240433363,3.205951081741762,2.736392589971504
Residential building,Urban,2,92.061,2011,594,507,186,184.122,0.0094297776257038,5.6012879096680575,4.780897256231826
Residential building,Urban,1,68.093,2011,594,507,187,68.093,0.0034873716767526,2.0714987759910444,1.7680974401135683
Residential building,Urban,1,46.296,2011,594,507,188,46.296,0.0023710419447952,1.4083989152083487,1.2021182660111664
Residential building,Urban,1,50.83,2011,594,507,189,50.83,0.0026032500011651,1.5463305006920693,1.3198477505907056
Residential building,Urban,1,99.505,2011,594,507,190,99.505,0.0050961320355289,3.0271024291041666,2.5837389420131522
Residential building,Urban,1,59.375,2011,594,507,191,59.375,0.0030408807558367,1.8062831689669996,1.5417265432092069
Residential building,Urban,2,84.62099999999998,2011,594,507,192,169.24199999999996,0.00866770089902,5.148614334017879,4.3945243558031395
Residential building,Urban,1,83.67799999999998,2011,594,507,193,83.67799999999998,0.0042855548612531,2.545619587584341,2.1727763146553216
Residential building,Urban,1,42.863,2011,594,507,194,42.863,0.0021952214204198,1.3039615237293611,1.1129772601528385
Residential building,Urban,1,20.824,2011,594,507,195,20.824,0.001066497698687,0.633499633020078,0.540714333234309
Residential building,Urban,1,48.593,2011,594,507,196,48.593,0.0024886824179936,1.4782773562881986,1.2617619859227553
Residential building,Urban,1,58.041,2011,594,507,197,58.041,0.0029725601675708,1.7657007395370552,1.5070880049583957
Residential building,Urban,1,57.504,2011,594,507,198,57.504,0.0029450578018296,1.7493643342867824,1.4931443055276072
Residential building,Urban,2,67.386,2011,594,507,199,134.772,0.0069023255785368,4.099981393650859,3.499479068318158
Residential building,Urban,1,73.89,2011,594,507,200,73.89,0.0037842640681898,2.2478528565047413,1.9186218825722285
Residential building,Urban,1,73.479,2011,594,507,201,73.479,0.0037632147715052,2.235349574274089,1.9079498891531363
Residential building,Urban,1,84.909,2011,594,507,202,84.909,0.0043486003216393,2.583068591053744,2.204740363071125
Residential building,Urban,1,85.20099999999998,2011,594,507,203,85.20099999999998,0.0043635550531038,2.5919517015436573,2.2123224119236267
Residential building,Urban,2,21.287,2011,594,507,204,42.574,0.0021804203334567,1.2951696780732798,1.105473109062547
Residential building,Urban,1,50.234,2011,594,507,205,50.234,0.0025727259602307,1.5281992203770358,1.304372061836965
Residential building,Urban,1,89.977,2011,594,507,206,89.977,0.0046081570992491,2.7372453169539654,2.336335649319294
Residential building,Urban,2,77.875,2011,594,507,207,155.75,0.0079767103616264,4.738165954806082,4.044192153344585
Residential building,Urban,2,103.301,2011,594,507,208,206.602,0.0105810870891347,6.285165730946012,5.3646111541912935
Residential building,Urban,2,108.876,2011,594,507,209,217.752,0.0111521324858097,6.624366696570962,5.654131170305518
Residential building,Urban,2,65.681,2011,594,507,210,131.362,0.0067276829953384,3.9962436992310093,3.4109352786365688
Residential building,Urban,1,56.895,2011,594,507,211,56.895,0.002913867968056,1.730837573025264,1.477331059804392
