type,landuse,floors,area,year,pop2011,pop2022,ID
Residential building,Urban,1,107.858999999999995,2011,594,507,1
Residential building,Urban,1,120.671000000000006,2011,594,507,2
Residential building,Urban,2,95.438000000000002,2011,594,507,3
Residential building,Urban,1,69.088999999999999,2011,594,507,4
Residential building,Urban,1,62.840000000000003,2011,594,507,5
Residential building,Urban,1,61.582000000000001,2011,594,507,6
Residential building,Urban,1,85.596000000000004,2011,594,507,7
Residential building,Urban,1,82.328000000000003,2011,594,507,8
Residential building,Urban,1,154.282000000000011,2011,594,507,9
Residential building,Urban,1,86.635000000000005,2011,594,507,10
Residential building,Urban,1,138.699999999999989,2011,594,507,11
Residential building,Urban,1,91.459999999999994,2011,594,507,12
Residential building,Urban,1,81.656999999999996,2011,594,507,13
Residential building,Urban,1,123.180000000000007,2011,594,507,14
Residential building,Urban,1,126.593999999999994,2011,594,507,15
Residential building,Urban,1,89.441000000000003,2011,594,507,16
Residential building,Urban,1,108.566999999999993,2011,594,507,17
Residential building,Urban,2,133.012000000000000,2011,594,507,18
Residential building,Urban,1,104.834999999999994,2011,594,507,19
Residential building,Urban,1,108.722999999999999,2011,594,507,20
Residential building,Urban,1,103.682000000000002,2011,594,507,21
Residential building,Urban,1,116.491000000000000,2011,594,507,22
Residential building,Urban,1,91.891000000000005,2011,594,507,23
Residential building,Urban,2,107.126999999999995,2011,594,507,24
Residential building,Urban,1,97.448999999999998,2011,594,507,25
Residential building,Urban,2,93.188000000000002,2011,594,507,26
Residential building,Urban,2,91.643000000000001,2011,594,507,27
Residential building,Urban,1,110.680000000000007,2011,594,507,28
Residential building,Urban,1,107.585999999999999,2011,594,507,29
Residential building,Urban,1,91.475999999999999,2011,594,507,30
Residential building,Urban,1,76.721999999999994,2011,594,507,31
Residential building,Urban,1,84.366000000000000,2011,594,507,32
Residential building,Urban,1,103.587000000000003,2011,594,507,33
Residential building,Urban,1,79.359999999999999,2011,594,507,34
Residential building,Urban,2,99.730999999999995,2011,594,507,35
Residential building,Urban,1,59.459000000000003,2011,594,507,36
Residential building,Urban,1,74.887000000000000,2011,594,507,37
Residential building,Urban,1,73.436999999999998,2011,594,507,38
Residential building,Urban,1,85.173000000000002,2011,594,507,39
Residential building,Urban,1,99.477000000000004,2011,594,507,40
Residential building,Urban,2,114.183000000000007,2011,594,507,41
Residential building,Urban,1,142.277999999999992,2011,594,507,42
Residential building,Urban,1,115.656999999999996,2011,594,507,43
Residential building,Urban,1,116.418000000000006,2011,594,507,44
Residential building,Urban,1,93.670000000000002,2011,594,507,45
Residential building,Urban,1,82.658000000000001,2011,594,507,46
Residential building,Urban,1,94.329999999999998,2011,594,507,47
Residential building,Urban,1,113.736999999999995,2011,594,507,48
Residential building,Urban,1,100.441999999999993,2011,594,507,49
Residential building,Urban,1,109.307000000000002,2011,594,507,50
Residential building,Urban,1,104.796999999999997,2011,594,507,51
Residential building,Urban,1,116.881000000000000,2011,594,507,52
Residential building,Urban,1,91.266000000000005,2011,594,507,53
Residential building,Urban,1,109.459000000000003,2011,594,507,54
Residential building,Urban,2,107.102000000000004,2011,594,507,55
Residential building,Urban,1,111.134000000000000,2011,594,507,56
Residential building,Urban,2,96.859999999999999,2011,594,507,57
Residential building,Urban,1,117.114999999999995,2011,594,507,58
Residential building,Urban,1,124.140000000000001,2011,594,507,59
Residential building,Urban,2,118.057000000000002,2011,594,507,60
Residential building,Urban,1,104.962999999999994,2011,594,507,61
Residential building,Urban,1,96.724999999999994,2011,594,507,62
Residential building,Urban,1,68.061999999999998,2011,594,507,63
Residential building,Urban,1,84.539000000000001,2011,594,507,64
Residential building,Urban,1,80.334000000000003,2011,594,507,65
Residential building,Urban,2,102.759000000000000,2011,594,507,66
Residential building,Urban,1,73.617999999999995,2011,594,507,67
Residential building,Urban,1,124.909999999999997,2011,594,507,68
Residential building,Urban,1,98.072000000000003,2011,594,507,69
Residential building,Urban,1,85.888999999999996,2011,594,507,70
Residential building,Urban,1,63.886000000000003,2011,594,507,71
Residential building,Urban,1,66.837999999999994,2011,594,507,72
Residential building,Urban,1,105.828000000000003,2011,594,507,73
Residential building,Urban,1,67.780000000000001,2011,594,507,74
Residential building,Urban,1,68.239000000000004,2011,594,507,75
Residential building,Urban,1,64.134000000000000,2011,594,507,76
Residential building,Urban,1,65.492999999999995,2011,594,507,77
Residential building,Urban,1,80.741000000000000,2011,594,507,78
Residential building,Urban,1,61.697000000000003,2011,594,507,79
Residential building,Urban,1,69.183000000000007,2011,594,507,80
Residential building,Urban,1,67.805999999999997,2011,594,507,81
Residential building,Urban,1,32.253999999999998,2011,594,507,82
Residential building,Urban,1,87.091999999999999,2011,594,507,83
Residential building,Urban,1,69.382000000000005,2011,594,507,84
Residential building,Urban,2,90.515000000000001,2011,594,507,85
Residential building,Urban,1,62.151000000000003,2011,594,507,86
Residential building,Urban,1,41.857999999999997,2011,594,507,87
Residential building,Urban,1,81.661000000000001,2011,594,507,88
Residential building,Urban,1,108.861999999999995,2011,594,507,89
Residential building,Urban,1,84.100999999999999,2011,594,507,90
Residential building,Urban,1,70.920000000000002,2011,594,507,91
Residential building,Urban,1,93.225999999999999,2011,594,507,92
Residential building,Urban,1,84.605000000000004,2011,594,507,93
Residential building,Urban,1,63.113999999999997,2011,594,507,94
Residential building,Urban,1,73.570999999999998,2011,594,507,95
Residential building,Urban,1,75.191999999999993,2011,594,507,96
Residential building,Urban,1,70.037999999999997,2011,594,507,97
Residential building,Urban,1,57.119000000000000,2011,594,507,98
Residential building,Urban,1,64.828999999999994,2011,594,507,99
Residential building,Urban,1,35.691000000000003,2011,594,507,100
Residential building,Urban,1,136.296999999999997,2011,594,507,101
Residential building,Urban,1,63.334000000000003,2011,594,507,102
Residential building,Urban,1,48.341999999999999,2011,594,507,103
Residential building,Urban,1,76.887000000000000,2011,594,507,104
Residential building,Urban,1,71.347999999999999,2011,594,507,105
Residential building,Urban,1,113.876000000000005,2011,594,507,106
Residential building,Urban,1,69.424999999999997,2011,594,507,107
Residential building,Urban,1,94.091999999999999,2011,594,507,108
Residential building,Urban,1,79.113000000000000,2011,594,507,109
Residential building,Urban,1,74.149000000000001,2011,594,507,110
Residential building,Urban,1,57.003000000000000,2011,594,507,111
Residential building,Urban,1,53.616999999999997,2011,594,507,112
Residential building,Urban,1,70.826999999999998,2011,594,507,113
Residential building,Urban,1,70.140000000000001,2011,594,507,114
Residential building,Urban,1,67.174999999999997,2011,594,507,115
Residential building,Urban,1,46.600999999999999,2011,594,507,116
Residential building,Urban,1,83.825000000000003,2011,594,507,117
Residential building,Urban,1,58.551000000000002,2011,594,507,118
Residential building,Urban,1,36.610999999999997,2011,594,507,119
Residential building,Urban,1,44.491999999999997,2011,594,507,120
Residential building,Urban,1,38.911000000000001,2011,594,507,121
Residential building,Urban,1,110.625000000000000,2011,594,507,122
Residential building,Urban,1,76.373000000000005,2011,594,507,123
Residential building,Urban,1,60.460999999999999,2011,594,507,124
Residential building,Urban,2,81.536000000000001,2011,594,507,125
Residential building,Urban,1,70.561000000000007,2011,594,507,126
Residential building,Urban,1,49.162999999999997,2011,594,507,127
Residential building,Urban,1,78.674999999999997,2011,594,507,128
Residential building,Urban,1,166.465000000000003,2011,594,507,129
Residential building,Urban,1,79.406000000000006,2011,594,507,130
Residential building,Urban,1,64.954999999999998,2011,594,507,131
Residential building,Urban,1,77.760000000000005,2011,594,507,132
Residential building,Urban,1,84.754999999999995,2011,594,507,133
Residential building,Urban,1,88.962999999999994,2011,594,507,134
Residential building,Urban,1,54.988000000000000,2011,594,507,135
Residential building,Urban,1,78.075999999999993,2011,594,507,136
Residential building,Urban,1,49.659999999999997,2011,594,507,137
Residential building,Urban,1,47.792000000000002,2011,594,507,138
Residential building,Urban,1,66.064999999999998,2011,594,507,139
Residential building,Urban,1,67.918000000000006,2011,594,507,140
Residential building,Urban,1,79.924999999999997,2011,594,507,141
Residential building,Urban,1,108.447999999999993,2011,594,507,142
Residential building,Urban,1,59.231000000000002,2011,594,507,143
Residential building,Urban,1,42.459000000000003,2011,594,507,144
Residential building,Urban,1,95.596000000000004,2011,594,507,145
Residential building,Urban,1,96.132999999999996,2011,594,507,146
Residential building,Urban,1,64.298000000000002,2011,594,507,147
Residential building,Urban,1,52.886000000000003,2011,594,507,148
Residential building,Urban,1,83.418999999999997,2011,594,507,149
Residential building,Urban,1,73.558999999999997,2011,594,507,150
Residential building,Urban,1,51.292000000000002,2011,594,507,151
Residential building,Urban,2,51.603000000000002,2011,594,507,152
Residential building,Urban,1,40.921999999999997,2011,594,507,153
Residential building,Urban,1,66.686999999999998,2011,594,507,154
Residential building,Urban,1,64.432000000000002,2011,594,507,155
Residential building,Urban,1,78.775999999999996,2011,594,507,156
Residential building,Urban,1,53.067999999999998,2011,594,507,157
Residential building,Urban,1,69.131000000000000,2011,594,507,158
Residential building,Urban,1,67.427000000000007,2011,594,507,159
Residential building,Urban,1,77.480999999999995,2011,594,507,160
Residential building,Urban,1,26.105000000000000,2011,594,507,161
Residential building,Urban,1,61.563000000000002,2011,594,507,162
Residential building,Urban,1,79.927000000000007,2011,594,507,163
Residential building,Urban,1,86.591999999999999,2011,594,507,164
Residential building,Urban,1,72.212999999999994,2011,594,507,165
Residential building,Urban,1,83.716999999999999,2011,594,507,166
Residential building,Urban,1,60.914999999999999,2011,594,507,167
Residential building,Urban,1,62.334000000000003,2011,594,507,168
Residential building,Urban,1,54.715000000000003,2011,594,507,169
Residential building,Urban,1,66.888000000000005,2011,594,507,170
Residential building,Urban,1,81.941999999999993,2011,594,507,171
Residential building,Urban,1,83.344999999999999,2011,594,507,172
Residential building,Urban,1,63.353999999999999,2011,594,507,173
Residential building,Urban,2,64.915000000000006,2011,594,507,174
Residential building,Urban,1,68.367000000000004,2011,594,507,175
Residential building,Urban,1,76.882000000000005,2011,594,507,176
Residential building,Urban,1,73.893000000000001,2011,594,507,177
Residential building,Urban,2,83.638999999999996,2011,594,507,178
Residential building,Urban,2,74.641000000000005,2011,594,507,179
Residential building,Urban,2,97.012000000000000,2011,594,507,180
Residential building,Urban,1,98.489000000000004,2011,594,507,181
Residential building,Urban,2,116.787000000000006,2011,594,507,182
Residential building,Urban,1,88.584999999999994,2011,594,507,183
Residential building,Urban,1,88.623000000000005,2011,594,507,184
Residential building,Urban,1,105.384000000000000,2011,594,507,185
Residential building,Urban,2,92.061000000000007,2011,594,507,186
Residential building,Urban,1,68.093000000000004,2011,594,507,187
Residential building,Urban,1,46.295999999999999,2011,594,507,188
Residential building,Urban,1,50.829999999999998,2011,594,507,189
Residential building,Urban,1,99.504999999999995,2011,594,507,190
Residential building,Urban,1,59.375000000000000,2011,594,507,191
Residential building,Urban,2,84.620999999999995,2011,594,507,192
Residential building,Urban,1,83.677999999999997,2011,594,507,193
Residential building,Urban,1,42.863000000000000,2011,594,507,194
Residential building,Urban,1,20.824000000000002,2011,594,507,195
Residential building,Urban,1,48.593000000000004,2011,594,507,196
Residential building,Urban,1,58.040999999999997,2011,594,507,197
Residential building,Urban,1,57.503999999999998,2011,594,507,198
Residential building,Urban,2,67.385999999999996,2011,594,507,199
Residential building,Urban,1,73.890000000000001,2011,594,507,200
Residential building,Urban,1,73.478999999999999,2011,594,507,201
Residential building,Urban,1,84.909000000000006,2011,594,507,202
Residential building,Urban,1,85.200999999999993,2011,594,507,203
Residential building,Urban,2,21.286999999999999,2011,594,507,204
Residential building,Urban,1,50.234000000000002,2011,594,507,205
Residential building,Urban,1,89.977000000000004,2011,594,507,206
Residential building,Urban,2,77.875000000000000,2011,594,507,207
Residential building,Urban,2,103.301000000000002,2011,594,507,208
Residential building,Urban,2,108.876000000000005,2011,594,507,209
Residential building,Urban,2,65.680999999999997,2011,594,507,210
Residential building,Urban,1,56.895000000000003,2011,594,507,211
