type,landuse,floors,area,year,pop2011,pop2022,ID,weight,weight_share
Residential building,Urban,1,107.859,2011,594,507,1,107.859,0.005523980756948072
Residential building,Urban,1,120.671,2011,594,507,2,120.671,0.00618014520736963
Residential building,Urban,2,95.438,2011,594,507,3,190.876,0.009775682613070958
Residential building,Urban,1,69.089,2011,594,507,4,69.089,0.003538381651200043
Residential building,Urban,1,62.84,2011,594,507,5,62.84,0.0032183401548931193
Residential building,Urban,1,61.582,2011,594,507,6,61.582,0.0031539118939947174
Residential building,Urban,1,85.596,2011,594,507,7,85.596,0.004383784912447985
Residential building,Urban,1,82.328,2011,594,507,8,82.328,0.004216414835646733
Residential building,Urban,1,154.282,2011,594,507,9,154.282,0.007901526985633676
Residential building,Urban,1,86.635,2011,594,507,10,86.635,0.004436997124748016
Residential building,Urban,1,138.7,2011,594,507,11,138.7,0.0071034974456345564
Residential building,Urban,1,91.46,2011,594,507,12,91.46,0.004684108697748641
Residential building,Urban,1,81.65699999999998,2011,594,507,13,81.65699999999998,0.004182049682178665
Residential building,Urban,1,123.18,2011,594,507,14,123.18,0.006308643225329955
Residential building,Urban,1,126.594,2011,594,507,15,126.594,0.006483490667863454
Residential building,Urban,1,89.441,2011,594,507,16,89.441,0.004580705948341748
Residential building,Urban,1,108.567,2011,594,507,17,108.567,0.005560240859266092
Residential building,Urban,2,133.012,2011,594,507,18,266.024,0.013624374942159246
Residential building,Urban,1,104.835,2011,594,507,19,104.835,0.005369107099589754
Residential building,Urban,1,108.723,2011,594,507,20,108.723,0.0055682303733361645
Residential building,Urban,1,103.682,2011,594,507,21,103.682,0.0053100563962385165
Residential building,Urban,1,116.491,2011,594,507,22,116.491,0.005966067202158726
Residential building,Urban,1,91.891,2011,594,507,23,91.891,0.004706182291108905
Residential building,Urban,2,107.127,2011,594,507,24,214.254,0.010972982997238546
Residential building,Urban,1,97.449,2011,594,507,25,97.449,0.0049908343372721126
Residential building,Urban,2,93.188,2011,594,507,26,186.376,0.00954521586104965
Residential building,Urban,2,91.643,2011,594,507,27,183.286,0.009386962024661683
Residential building,Urban,1,110.68,2011,594,507,28,110.68,0.005668457803048543
Residential building,Urban,1,107.586,2011,594,507,29,107.586,0.005509999107325447
Residential building,Urban,1,91.476,2011,594,507,30,91.476,0.004684928135089162
Residential building,Urban,1,76.72199999999998,2011,594,507,31,76.72199999999998,0.003929304477461964
Residential building,Urban,1,84.366,2011,594,507,32,84.366,0.004320790666895494
Residential building,Urban,1,103.587,2011,594,507,33,103.587,0.005305190987029178
Residential building,Urban,1,79.36,2011,594,507,34,79.36,0.004064409208980234
Residential building,Urban,2,99.731,2011,594,507,35,199.462,0.010215413175927614
Residential building,Urban,1,59.459,2011,594,507,36,59.459,0.0030451828018744423
Residential building,Urban,1,74.887,2011,594,507,37,74.887,0.0038353252574710533
Residential building,Urban,1,73.437,2011,594,507,38,73.437,0.0037610637484864094
Residential building,Urban,1,85.173,2011,594,507,39,85.173,0.0043621210377579826
Residential building,Urban,1,99.477,2011,594,507,40,99.477,0.005094698020183049
Residential building,Urban,2,114.183,2011,594,507,41,228.366,0.011695726731577372
Residential building,Urban,1,142.278,2011,594,507,42,142.278,0.007286744120908389
Residential building,Urban,1,115.657,2011,594,507,43,115.657,0.005923354030784109
Residential building,Urban,1,116.418,2011,594,507,44,116.418,0.005962328519292602
Residential building,Urban,1,93.67,2011,594,507,45,93.67,0.004797293480407996
Residential building,Urban,1,82.658,2011,594,507,46,82.658,0.004233315730794962
Residential building,Urban,1,94.33,2011,594,507,47,94.33,0.004831095270704454
Residential building,Urban,1,113.737,2011,594,507,48,113.737,0.005825021549921684
Residential building,Urban,1,100.442,2011,594,507,49,100.442,0.005144120334783174
Residential building,Urban,1,109.307,2011,594,507,50,109.307,0.005598139836265152
Residential building,Urban,1,104.797,2011,594,507,51,104.797,0.005367160935906018
Residential building,Urban,1,116.881,2011,594,507,52,116.881,0.005986040987333905
Residential building,Urban,1,91.266,2011,594,507,53,91.266,0.004674173019994835
Residential building,Urban,1,109.459,2011,594,507,54,109.459,0.005605924491000094
Residential building,Urban,2,107.102,2011,594,507,55,214.204,0.010970422255549422
Residential building,Urban,1,111.134,2011,594,507,56,111.134,0.005691709337585804
Residential building,Urban,2,96.86,2011,594,507,57,193.72000000000003,0.009921337600348426
Residential building,Urban,1,117.115,2011,594,507,58,117.115,0.005998025258439013
Residential building,Urban,1,124.14,2011,594,507,59,124.14,0.006357809465761167
Residential building,Urban,2,118.057,2011,594,507,60,236.114,0.012092539263724281
Residential building,Urban,1,104.963,2011,594,507,61,104.963,0.005375662598313915
Residential building,Urban,1,96.725,2011,594,507,62,96.725,0.004953754797613573
Residential building,Urban,1,68.062,2011,594,507,63,68.062,0.003485784016905402
Residential building,Urban,1,84.539,2011,594,507,64,84.539,0.00432965083313987
Residential building,Urban,1,80.334,2011,594,507,65,80.334,0.004114292457084402
Residential building,Urban,2,102.759,2011,594,507,66,205.518,0.010525570209314513
Residential building,Urban,1,73.61799999999998,2011,594,507,67,73.61799999999998,0.0037703336334010433
Residential building,Urban,1,124.91,2011,594,507,68,124.91,0.0063972448877737025
Residential building,Urban,1,98.072,2011,594,507,69,98.072,0.005022741178718618
Residential building,Urban,1,85.88899999999998,2011,594,507,70,85.88899999999998,0.00439879085874626
Residential building,Urban,1,63.886,2011,594,507,71,63.886,0.0032719108710296276
Residential building,Urban,1,66.838,2011,594,507,72,66.838,0.0034230970603556054
Residential building,Urban,1,105.828,2011,594,507,73,105.828,0.00541996342953579
Residential building,Urban,1,67.78,2011,594,507,74,67.78,0.003471341433778733
Residential building,Urban,1,68.239,2011,594,507,75,68.239,0.003494849042484907
Residential building,Urban,1,64.134,2011,594,507,76,64.134,0.0032846121498076907
Residential building,Urban,1,65.493,2011,594,507,77,65.493,0.003354213108918126
Residential building,Urban,1,80.741,2011,594,507,78,80.741,0.004135136894433885
Residential building,Urban,1,61.697,2011,594,507,79,61.697,0.0031598015998797065
Residential building,Urban,1,69.183,2011,594,507,80,69.183,0.0035431958455755994
Residential building,Urban,1,67.806,2011,594,507,81,67.806,0.0034726730194570786
Residential building,Urban,1,32.254,2011,594,507,82,32.254,0.0016518832488211753
Residential building,Urban,1,87.092,2011,594,507,83,87.092,0.004460402303786625
Residential building,Urban,1,69.382,2011,594,507,84,69.382,0.0035533875974983193
Residential building,Urban,2,90.515,2011,594,507,85,181.03,0.009271421359648334
Residential building,Urban,1,62.151,2011,594,507,86,62.151,0.0031830531344169675
Residential building,Urban,1,41.858,2011,594,507,87,41.858,0.0021437505124684304
Residential building,Urban,1,81.661,2011,594,507,88,81.661,0.004182254541513796
Residential building,Urban,1,108.862,2011,594,507,89,108.862,0.005575349235231933
Residential building,Urban,1,84.101,2011,594,507,90,84.101,0.004307218735943128
Residential building,Urban,1,70.92,2011,594,507,91,70.92,0.003632156011855824
Residential building,Urban,1,93.226,2011,594,507,92,93.226,0.00477455409420856
Residential building,Urban,1,84.605,2011,594,507,93,84.605,0.004333031012169516
Residential building,Urban,1,63.114,2011,594,507,94,63.114,0.0032323730193495274
Residential building,Urban,1,73.571,2011,594,507,95,73.571,0.003767926536213266
Residential building,Urban,1,75.19199999999998,2011,594,507,96,75.19199999999998,0.003850945781774719
Residential building,Urban,1,70.038,2011,594,507,97,70.038,0.0035869845284596477
Residential building,Urban,1,57.119,2011,594,507,98,57.119,0.0029253400908233617
Residential building,Urban,1,64.829,2011,594,507,99,64.829,0.0033202064592865368
Residential building,Urban,1,35.691,2011,594,507,100,35.691,0.0018279086325316727
Residential building,Urban,1,136.297,2011,594,507,101,136.297,0.0069804282000551785
Residential building,Urban,1,63.334,2011,594,507,102,63.334,0.0032436402827816803
Residential building,Urban,1,48.342,2011,594,507,103,48.342,0.0024758274947142447
Residential building,Urban,1,76.887,2011,594,507,104,76.887,0.00393775492503608
Residential building,Urban,1,71.348,2011,594,507,105,71.348,0.0036540759607147397
Residential building,Urban,1,113.876,2011,594,507,106,113.876,0.005832140411817454
Residential building,Urban,1,69.425,2011,594,507,107,69.425,0.003555589835350967
Residential building,Urban,1,94.092,2011,594,507,108,94.092,0.0048189061402642164
Residential building,Urban,1,79.113,2011,594,507,109,79.113,0.004051759145035953
Residential building,Urban,1,74.149,2011,594,507,110,74.149,0.003797528710139559
Residential building,Urban,1,57.003,2011,594,507,111,57.003,0.00291939917010459
Residential building,Urban,1,53.617,2011,594,507,112,53.617,0.002745985742917001
Residential building,Urban,1,70.827,2011,594,507,113,70.827,0.0036273930323140503
Residential building,Urban,1,70.14,2011,594,507,114,70.14,0.003592208441505464
Residential building,Urban,1,67.175,2011,594,507,115,67.175,0.0034403564593403126
Residential building,Urban,1,46.601,2011,594,507,116,46.601,0.00238666246909889
Residential building,Urban,1,83.825,2011,594,507,117,83.825,0.004293083441819155
Residential building,Urban,1,58.551,2011,594,507,118,58.551,0.0029986797327999208
Residential building,Urban,1,36.611,2011,594,507,119,36.611,0.0018750262796115844
Residential building,Urban,1,44.492,2011,594,507,120,44.492,0.00227865038465157
Residential building,Urban,1,38.911,2011,594,507,121,38.911,0.0019928203973113645
Residential building,Urban,1,110.625,2011,594,507,122,110.625,0.005665640987190504
Residential building,Urban,1,76.373,2011,594,507,123,76.373,0.0039114305004718675
Residential building,Urban,1,60.461,2011,594,507,124,60.461,0.0030965000653245204
Residential building,Urban,2,81.536,2011,594,507,125,163.072,0.008351705374581965
Residential building,Urban,1,70.561,2011,594,507,126,70.561,0.0036137698865279025
Residential building,Urban,1,49.163,2011,594,507,127,49.163,0.002517874873249688
Residential building,Urban,1,78.67499999999998,2011,594,507,128,78.67499999999998,0.004029327047839212
Residential building,Urban,1,166.465,2011,594,507,129,166.465,0.008525477305606032
Residential building,Urban,1,79.406,2011,594,507,130,79.406,0.00406676509133423
Residential building,Urban,1,64.955,2011,594,507,131,64.955,0.003326659528343134
Residential building,Urban,1,77.76,2011,594,507,132,77.76,0.003982465474928213
Residential building,Urban,1,84.75499999999998,2011,594,507,133,84.75499999999998,0.004340713237236891
Residential building,Urban,1,88.96299999999998,2011,594,507,134,88.96299999999998,0.004556225257793705
Residential building,Urban,1,54.988,2011,594,507,135,54.988,0.0028162012800328267
Residential building,Urban,1,78.07599999999998,2011,594,507,136,78.07599999999998,0.0039986493624034865
Residential building,Urban,1,49.66,2011,594,507,137,49.66,0.002543328645639597
Residential building,Urban,1,47.792,2011,594,507,138,47.792,0.002447659336133863
Residential building,Urban,1,66.065,2011,594,507,139,66.065,0.0033835079938417233
Residential building,Urban,1,67.918,2011,594,507,140,67.918,0.0034784090808407204
Residential building,Urban,1,79.92499999999998,2011,594,507,141,79.92499999999998,0.0040933455900673535
Residential building,Urban,1,108.448,2011,594,507,142,108.448,0.005554146294045973
Residential building,Urban,1,59.231,2011,594,507,143,59.231,0.0030335058197720295
Residential building,Urban,1,42.459,2011,594,507,144,42.459,0.0021745306275717208
Residential building,Urban,1,95.596,2011,594,507,145,95.596,0.0048959332502731155
Residential building,Urban,1,96.133,2011,594,507,146,96.133,0.004923435616014325
Residential building,Urban,1,64.298,2011,594,507,147,64.298,0.003293011382548023
Residential building,Urban,1,52.886,2011,594,507,148,52.886,0.0027085476994219843
Residential building,Urban,1,83.41899999999998,2011,594,507,149,83.41899999999998,0.004272290219303454
Residential building,Urban,1,73.55899999999998,2011,594,507,150,73.55899999999998,0.003767311958207875
Residential building,Urban,1,51.292,2011,594,507,151,51.292,0.0026269112543726584
Residential building,Urban,2,51.603,2011,594,507,152,103.206,0.00528567813535804
Residential building,Urban,1,40.922,2011,594,507,153,40.922,0.0020958134280479983
Residential building,Urban,1,66.687,2011,594,507,154,66.687,0.0034153636204544463
Residential building,Urban,1,64.432,2011,594,507,155,64.432,0.0032998741702748796
Residential building,Urban,1,78.77599999999998,2011,594,507,156,78.77599999999998,0.0040344997460512455
Residential building,Urban,1,53.068,2011,594,507,157,53.068,0.0027178687991704013
Residential building,Urban,1,69.131,2011,594,507,158,69.131,0.0035405326742189084
Residential building,Urban,1,67.427,2011,594,507,159,67.427,0.0034532625974535063
Residential building,Urban,1,77.48099999999998,2011,594,507,160,77.48099999999998,0.003968176536302891
Residential building,Urban,1,26.105,2011,594,507,161,26.105,0.0013369632358925026
Residential building,Urban,1,61.563,2011,594,507,162,61.563,0.00315293881215285
Residential building,Urban,1,79.927,2011,594,507,163,79.927,0.004093448019734919
Residential building,Urban,1,86.592,2011,594,507,164,86.592,0.0044347948868953685
Residential building,Urban,1,72.21299999999998,2011,594,507,165,72.21299999999998,0.0036983767919366124
Residential building,Urban,1,83.717,2011,594,507,166,83.717,0.0042875522397706435
Residential building,Urban,1,60.915,2011,594,507,167,60.915,0.0031197515998617814
Residential building,Urban,1,62.334,2011,594,507,168,62.334,0.0031924254489991673
Residential building,Urban,1,54.715,2011,594,507,169,54.715,0.0028022196304102005
Residential building,Urban,1,66.888,2011,594,507,170,66.888,0.0034256578020447318
Residential building,Urban,1,81.94199999999998,2011,594,507,171,81.94199999999998,0.004196645909806682
Residential building,Urban,1,83.345,2011,594,507,172,83.345,0.004268500321603548
Residential building,Urban,1,63.354,2011,594,507,173,63.354,0.0032446645794573306
Residential building,Urban,2,64.915,2011,594,507,174,129.83,0.006649221869983668
Residential building,Urban,1,68.367,2011,594,507,175,68.367,0.0035014045412090685
Residential building,Urban,1,76.882,2011,594,507,176,76.882,0.003937498850867167
Residential building,Urban,1,73.893,2011,594,507,177,73.893,0.0037844177126912354
Residential building,Urban,2,83.63899999999998,2011,594,507,178,167.27799999999996,0.008567114965471212
Residential building,Urban,2,74.641,2011,594,507,179,149.282,0.0076454528167211105
Residential building,Urban,2,97.012,2011,594,507,180,194.024,0.009936906909818308
Residential building,Urban,1,98.489,2011,594,507,181,98.489,0.005044097764405927
Residential building,Urban,2,116.787,2011,594,507,182,233.574,0.0119624535859167
Residential building,Urban,1,88.58499999999998,2011,594,507,183,88.58499999999998,0.004536866050623916
Residential building,Urban,1,88.623,2011,594,507,184,88.623,0.004538812214307653
Residential building,Urban,1,105.384,2011,594,507,185,105.384,0.0053972240433363535
Residential building,Urban,2,92.061,2011,594,507,186,184.122,0.009429777625703866
Residential building,Urban,1,68.093,2011,594,507,187,68.093,0.00348737167675266
Residential building,Urban,1,46.296,2011,594,507,188,46.296,0.0023710419447952233
Residential building,Urban,1,50.83,2011,594,507,189,50.83,0.002603250001165137
Residential building,Urban,1,99.505,2011,594,507,190,99.505,0.005096132035528959
Residential building,Urban,1,59.375,2011,594,507,191,59.375,0.003040880755836711
Residential building,Urban,2,84.62099999999998,2011,594,507,192,169.24199999999996,0.008667700899020069
Residential building,Urban,1,83.67799999999998,2011,594,507,193,83.67799999999998,0.004285554861253125
Residential building,Urban,1,42.863,2011,594,507,194,42.863,0.002195221420419856
Residential building,Urban,1,20.824,2011,594,507,195,20.824,0.0010664976986870514
Residential building,Urban,1,48.593,2011,594,507,196,48.593,0.002488682417993656
Residential building,Urban,1,58.041,2011,594,507,197,58.041,0.0029725601675708387
Residential building,Urban,1,57.504,2011,594,507,198,57.504,0.0029450578018296292
Residential building,Urban,2,67.386,2011,594,507,199,134.772,0.006902325578536846
Residential building,Urban,1,73.89,2011,594,507,200,73.89,0.003784264068189888
Residential building,Urban,1,73.479,2011,594,507,201,73.479,0.003763214771505275
Residential building,Urban,1,84.909,2011,594,507,202,84.909,0.004348600321639399
Residential building,Urban,1,85.20099999999998,2011,594,507,203,85.20099999999998,0.004363555053103892
Residential building,Urban,2,21.287,2011,594,507,204,42.574,0.0021804203334567095
Residential building,Urban,1,50.234,2011,594,507,205,50.234,0.0025727259602307596
Residential building,Urban,1,89.977,2011,594,507,206,89.977,0.004608157099249176
Residential building,Urban,2,77.875,2011,594,507,207,155.75,0.007976710361626404
Residential building,Urban,2,103.301,2011,594,507,208,206.602,0.010581087089134758
Residential building,Urban,2,108.876,2011,594,507,209,217.752,0.011152132485809778
Residential building,Urban,2,65.681,2011,594,507,210,131.362,0.006727682995338476
Residential building,Urban,1,56.895,2011,594,507,211,56.895,0.002913867968056079
