ID,delta_dens,GiZScore_IDW_100,GiPValue_IDW_100,Gi_Bin_IDW_100
1,-0.0044556905390785,-0.010669739994388926,0.317,0
2,-0.0044556905390786,-0.01066973999440547,0.489,0
3,-0.0089113810781572,-0.3759047057780508,0.218,0
4,-0.0044556905390785,-0.38411063979867377,0.278,0
5,-0.0044556905390786,-0.38411063979870563,0.018,0
6,-0.0044556905390786,-0.38411063979870563,0.018,0
7,-0.0044556905390785,-0.3841106397987076,0.018,0
8,-0.0044556905390785,-0.38411063979869037,0.119,0
9,-0.0044556905390785,-0.38411063979869897,0.048,0
10,-0.0044556905390786,-0.38411063979870563,0.018,0
11,-0.0044556905390785,-0.38411063979867377,0.279,0
12,-0.0044556905390785,-0.3841106397986824,0.211,0
13,-0.0044556905390785,-0.3841106397986824,0.211,0
14,-0.0044556905390785,-0.3841106397986824,0.211,0
15,-0.0044556905390785,-0.3841106397986824,0.211,0
16,-0.0044556905390785,-0.3841106397986824,0.211,0
17,-0.0044556905390785,-0.010669739994397524,0.393,0
18,-0.0089113810781572,0.0036144683248255046,0.262,0
19,-0.0044556905390785,0.36277115980990454,0.064,0
20,-0.0044556905390785,0.36277115980988794,0.092,0
21,-0.0044556905390786,0.36277115980988733,0.09,0
22,-0.0044556905390786,0.3627711598098953,0.07,0
23,-0.0044556905390786,0.7362120596141789,0.013,0
24,-0.0089113810781572,0.3831336424276677,0.059,0
25,-0.0044556905390786,0.7362120596141709,0.015,0
26,-0.0089113810781572,0.38313364242765086,0.083,0
27,-0.0089113810781571,0.0036144683248000146,0.359,0
28,-0.0044556905390786,0.36277115980987934,0.121,0
29,-0.0044556905390785,-0.38411063979869037,0.116,0
30,-0.0044556905390785,-0.3841106397986996,0.054,0
31,-0.0044556905390785,-0.01066973999441349,0.495,0
32,-0.0044556905390785,0.3627711598098708,0.195,0
33,-0.0044556905390785,0.7362120596141563,0.034,0
34,-0.0044556905390786,0.3627711598098622,0.24,0
35,-0.0089113810781572,0.0036144683247745424,0.389,0
36,-0.0044556905390785,0.3627711598098628,0.216,0
37,-0.0044556905390785,0.3627711598098714,0.196,0
38,-0.0044556905390786,-0.010669739994421439,0.382,0
39,-0.0044556905390785,-0.01066973999441349,0.49,0
40,-0.0044556905390785,-0.01066973999441349,0.49,0
41,-0.0089113810781572,-0.3759047057780682,0.054,0
42,-0.0044556905390785,0.3627711598098628,0.216,0
43,-0.0044556905390786,-0.38411063979870563,0.021,0
44,-0.0044556905390786,-0.3841106397986977,0.055,0
45,-0.0044556905390785,-0.38411063979869037,0.116,0
46,-0.0044556905390785,-0.38411063979869037,0.116,0
47,-0.0044556905390785,-0.3841106397986824,0.223,0
48,-0.0044556905390785,-0.3841106397986824,0.223,0
49,-0.0044556905390785,-0.010669739994414104,0.431,0
50,-0.0044556905390785,-0.38411063979867377,0.293,0
51,-0.0044556905390786,-0.010669739994396259,0.359,0
52,-0.0044556905390786,0.36277115980988733,0.095,0
53,-0.0044556905390786,-0.010669739994388276,0.298,0
54,-0.0044556905390785,0.7362120596141728,0.014,0
55,-0.0089113810781572,0.0036144683248081027,0.284,0
56,-0.0044556905390786,0.36277115980988733,0.099,0
57,-0.0089113810781572,0.0036144683248081027,0.29,0
58,-0.0044556905390786,0.36277115980988733,0.103,0
59,-0.0044556905390785,0.36277115980989594,0.078,0
60,-0.0089113810781572,0.003614468324817425,0.253,0
61,-0.0044556905390786,-0.010669739994388276,0.298,0
62,-0.0044556905390785,0.7362120596141808,0.014,0
63,-0.0044556905390786,0.36277115980988733,0.099,0
64,-0.0044556905390785,0.36277115980990393,0.069,0
65,-0.0044556905390786,0.36277115980988733,0.1,0
66,-0.0089113810781572,0.0036144683248087246,0.284,0
67,-0.0044556905390785,-0.010669739994414104,0.423,0
68,-0.0044556905390786,0.3627711598098953,0.074,0
69,-0.0044556905390786,-0.010669739994396873,0.361,0
70,-0.0044556905390785,-0.010669739994388312,0.295,0
71,-0.0044556905390785,-0.010669739994388312,0.295,0
72,-0.0044556905390786,-0.010669739994396873,0.361,0
73,-0.0044556905390785,-0.38411063979867377,0.288,0
74,-0.0044556905390785,-0.38411063979866583,0.321,0
75,-0.0044556905390786,-0.3841106397986885,0.128,0
76,-0.0044556905390785,0.36277115980987995,0.128,0
77,-0.0044556905390786,-0.010669739994421439,0.374,0
78,-0.0044556905390785,-0.38411063979867377,0.286,0
79,-0.0044556905390786,-0.3841106397986805,0.223,0
80,-0.0044556905390785,-0.010669739994388312,0.302,0
81,-0.0044556905390785,0.3627711598098708,0.197,0
82,-0.0044556905390784,0.3627711598098704,0.201,0
83,-0.0044556905390786,-0.3841106397986885,0.137,0
84,-0.0044556905390786,-0.3841106397986885,0.137,0
85,-0.0089113810781572,0.3831336424276335,0.187,0
86,-0.0044556905390785,0.7362120596141476,0.051,0
87,-0.0044556905390785,-0.010669739994414104,0.421,0
88,-0.0044556905390785,-0.3841106397986996,0.059,0
89,-0.0044556905390786,-0.38411063979871424,0.003,0
90,-0.0044556905390785,-0.38411063979868176,0.281,0
91,-0.0044556905390786,-0.3841106397986805,0.228,0
92,-0.0044556905390785,-0.3841106397986996,0.062,0
93,-0.0044556905390786,-0.3841106397986977,0.063,0
94,-0.0044556905390785,-0.010669739994422089,0.372,0
95,-0.0044556905390785,-0.010669739994406121,0.473,0
96,-0.0044556905390786,-0.01066973999440547,0.467,0
97,-0.0044556905390785,-0.010669739994414104,0.43,0
98,-0.0044556905390785,-0.3841106397986996,0.056,0
99,-0.0044556905390785,-0.3841106397987076,0.015,0
100,-0.0044556905390784,-0.38411063979869925,0.053,0
101,-0.0044556905390785,-0.3841106397986996,0.06,0
102,-0.0044556905390785,-0.3841106397986824,0.224,0
103,-0.0044556905390785,-0.3841106397986824,0.224,0
104,-0.0044556905390785,-0.3841106397986996,0.06,0
105,-0.0044556905390785,-0.010669739994388926,0.31,0
106,-0.0044556905390785,-0.3841106397986824,0.224,0
107,-0.0044556905390785,-0.38411063979869897,0.06,0
108,-0.0044556905390786,-0.3841106397986805,0.229,0
109,-0.0044556905390785,-0.010669739994422089,0.372,0
110,-0.0044556905390785,-0.010669739994422703,0.372,0
111,-0.0044556905390784,-0.01066973999443129,0.345,0
112,-0.0044556905390786,-0.010669739994447232,0.339,0
113,-0.0044556905390785,-0.38411063979871557,0.007,0
114,-0.0044556905390785,-0.38411063979871557,0.007,0
115,-0.0044556905390786,-0.38411063979873944,0.001,0
116,-0.0044556905390784,-0.3841106397987238,0.001,0
117,-0.0044556905390785,-0.3841106397987328,0.001,0
118,-0.0044556905390785,-0.3841106397987328,0.001,0
119,-0.0044556905390784,-0.3841106397987158,0.006,0
120,-0.0044556905390784,-0.38411063979870724,0.012,0
121,-0.0044556905390784,-0.3841106397987152,0.01,0
122,-0.0044556905390786,-0.010669739994447232,0.339,0
123,-0.0044556905390785,-0.010669739994439284,0.34,0
124,-0.0044556905390786,0.36277115980988733,0.086,0
125,-0.0089113810781571,-0.3759047057780673,0.063,0
126,-0.0044556905390786,0.3627711598098708,0.203,0
127,-0.0044556905390784,-0.010669739994388916,0.302,0
128,-0.0044556905390786,-0.010669739994404856,0.465,0
129,-0.0044556905390786,-0.3841106397986977,0.066,0
130,-0.0044556905390785,-0.38411063979867377,0.29,0
131,-0.0044556905390785,-0.3841106397986824,0.226,0
132,-0.0044556905390786,-0.3841106397986885,0.145,0
133,-0.0044556905390785,-0.3841106397986824,0.225,0
134,-0.0044556905390786,-0.38411063979870563,0.015,0
135,-0.0044556905390785,-0.38411063979869897,0.058,0
136,-0.0044556905390785,-0.38411063979871557,0.009,0
137,-0.0044556905390784,-0.38411063979868204,0.221,0
138,-0.0044556905390785,-0.3841106397986996,0.06,0
139,-0.0044556905390786,-0.3841106397986719,0.295,0
140,-0.0044556905390786,-0.010669739994396873,0.371,0
141,-0.0044556905390785,-0.38411063979867377,0.293,0
142,-0.0044556905390785,-0.38411063979866583,0.331,0
143,-0.0044556905390785,-0.010669739994406121,0.462,0
144,-0.0044556905390785,-0.010669739994414104,0.44,0
145,-0.0044556905390786,-0.3841106397986885,0.134,0
146,-0.0044556905390786,-0.3841106397986971,0.063,0
147,-0.0044556905390786,-0.3841106397986971,0.063,0
148,-0.0044556905390784,-0.38411063979867344,0.29,0
149,-0.0044556905390785,-0.38411063979869037,0.133,0
150,-0.0044556905390785,-0.010669739994414104,0.443,0
151,-0.0044556905390785,-0.38411063979869897,0.059,0
152,-0.0089113810781571,-0.37590470577805796,0.239,0
153,-0.0044556905390784,-0.38411063979869925,0.058,0
154,-0.0044556905390785,-0.3841106397987076,0.02,0
155,-0.0044556905390785,-0.3841106397986824,0.229,0
156,-0.0044556905390785,-0.38411063979866583,0.33,0
157,-0.0044556905390786,-0.38411063979870563,0.02,0
158,-0.0044556905390786,-0.3841106397986805,0.232,0
159,-0.0044556905390786,-0.3841106397986805,0.232,0
160,-0.0044556905390785,-0.38411063979866583,0.332,0
161,-0.0044556905390786,-0.3841106397986719,0.29,0
162,-0.0044556905390785,-0.3841106397986824,0.225,0
163,-0.0044556905390786,-0.01066973999440547,0.462,0
164,-0.0044556905390785,-0.010669739994397524,0.369,0
165,-0.0044556905390786,-0.01066973999440547,0.46,0
166,-0.0044556905390785,-0.010669739994422089,0.381,0
167,-0.0044556905390785,-0.38411063979869037,0.139,0
168,-0.0044556905390785,-0.38411063979869037,0.139,0
169,-0.0044556905390786,-0.3841106397987136,0.014,0
170,-0.0044556905390785,-0.010669739994414104,0.446,0
171,-0.0044556905390785,0.3627711598098622,0.249,0
172,-0.0044556905390785,-0.010669739994414104,0.446,0
173,-0.0044556905390785,-0.010669739994422089,0.381,0
174,-0.0089113810781571,-0.3759047057780754,0.019,0
175,-0.0044556905390785,0.3627711598098548,0.249,0
176,-0.0044556905390785,0.3627711598098548,0.249,0
177,-0.0044556905390785,1.1096529594184412,0.004,0
178,-0.0089113810781572,0.7626528165304843,0.031,0
179,-0.0089113810781572,1.1421719906333345,0.004,0
180,-0.0089113810781572,1.1421719906333345,0.004,0
181,-0.0044556905390786,1.4830938592227223,0.001,0
182,-0.0089113810781572,0.762652816530493,0.013,0
183,-0.0044556905390786,0.7362120596141544,0.041,0
184,-0.0044556905390785,0.7362120596141642,0.025,0
185,-0.0044556905390785,1.1096529594184406,0.003,0
186,-0.0089113810781572,1.1421719906333339,0.003,0
187,-0.0044556905390785,-0.38411063979869037,0.145,0
188,-0.0044556905390785,-0.3841106397986824,0.219,0
189,-0.0044556905390785,-0.3841106397986824,0.219,0
190,-0.0044556905390785,-0.010669739994414104,0.421,0
191,-0.0044556905390786,-0.01066973999440547,0.479,0
192,-0.0089113810781571,-0.37590470577805796,0.233,0
193,-0.0044556905390786,-0.010669739994421439,0.375,0
194,-0.0044556905390785,-0.010669739994422089,0.374,0
195,-0.0044556905390784,-0.010669739994422079,0.373,0
196,-0.0044556905390785,-0.010669739994422089,0.376,0
197,-0.0044556905390785,-0.010669739994430686,0.348,0
198,-0.0044556905390785,-0.010669739994430686,0.348,0
199,-0.0089113810781572,-0.37590470577807633,0.022,0
200,-0.0044556905390785,-0.010669739994422089,0.37,0
201,-0.0044556905390785,-0.010669739994422089,0.37,0
202,-0.0044556905390785,-0.010669739994422089,0.37,0
203,-0.0044556905390785,1.1096529594184412,0.003,0
204,-0.0089113810781572,1.1421719906333345,0.003,0
205,-0.0044556905390785,1.1096529594184497,0.002,0
206,-0.0044556905390785,1.1096529594184412,0.003,0
207,-0.0089113810781572,1.1421719906333345,0.002,0
208,-0.0089113810781572,1.1421719906333265,0.002,0
209,-0.0089113810781572,1.1421719906333265,0.002,0
210,-0.0089113810781571,1.1421719906333316,0.002,0
211,-0.0044556905390785,-0.010669739994422089,0.376,0
